,TV Show Title,TV Show Year,TV Show Genres,TV Show IMDB Rating,TV Show Age Rating,TV Show Production Countries,TV Show Stream Services,TV Show Runtime
0,Shōgun,2024,"Drama, War & Military, History",9.2,,United States,Hotstar,00:58:00
1,Panchayat,2020,"Comedy, Drama",8.9,,India,Amazon Prime Video,00:33:00
2,Mirzapur,2018,"Crime, Action & Adventure, Drama, Mystery & Thriller",8.5,,India,Amazon Prime Video,00:50:00
3,Game of Thrones,2011,"Science-Fiction, Drama, Action & Adventure, Fantasy",9.2,U,United States,Jio Cinema,00:59:00
4,Avatar: The Last Airbender,2024,"Science-Fiction, Action & Adventure, Drama, Kids & Family, Fantasy, Comedy",7.3,,United States,Netflix,00:54:00
5,Sunflower,2021,"Comedy, Crime",7.5,A,India,VI movies and tv,00:37:00
6,Solo Leveling,2024,"Animation, Action & Adventure, Fantasy, Science-Fiction",8.5,,"Japan, South Korea",Crunchyroll,00:24:00
7,Maharani,2021,Drama,7.9,UA,India,"Sony Liv, VI movies and tv",00:44:00
8,True Detective,2014,"Drama, Mystery & Thriller, Crime",8.9,U,United States,Jio Cinema,01:01:00
9,Young Sheldon,2017,"Comedy, Kids & Family",7.6,U,United States,"Amazon Prime Video, Netflix",00:19:00
10,Poacher,2023,"Crime, Drama",7.7,,"United States, India",Amazon Prime Video,00:47:00
11,Aarya,2020,"Crime, Drama, Mystery & Thriller, Action & Adventure",7.9,,India,Hotstar,00:46:00
12,Mastram,2020,"Drama, Fantasy, Comedy",7.1,,India,,00:28:00
13,The Gentlemen,2024,"Action & Adventure, Comedy, Crime, Drama",8.4,A,"United States, United Kingdom",Netflix,00:50:00
14,Farzi,2023,"Crime, Drama, Mystery & Thriller",8.4,,India,Amazon Prime Video,00:56:00
15,Jujutsu Kaisen,2020,"Mystery & Thriller, Animation, Action & Adventure, Fantasy, Science-Fiction",8.6,,"Japan, United States","Netflix, Crunchyroll",00:23:00
16,One Day,2024,"Romance, Comedy, Drama",8.2,A,United Kingdom,Netflix,00:29:00
17,Avatar: The Last Airbender,2005,"Action & Adventure, Science-Fiction, Kids & Family, Fantasy, Animation",9.3,U,United States,,00:24:00
18,Halo,2022,"Action & Adventure, Science-Fiction, Mystery & Thriller, War & Military",7.3,,United States,Jio Cinema,00:52:00
19,Criminal Justice,2019,"Drama, Crime, Mystery & Thriller",8.1,,India,Hotstar,00:50:00
20,Yellowstone,2018,"Drama, Western",8.7,,United States,Netflix,00:50:00
21,Reacher,2022,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.1,A,United States,Amazon Prime Video,00:48:00
22,Loki,2021,"Action & Adventure, Fantasy, Science-Fiction, Drama",8.2,,United States,Hotstar,00:49:00
23,The Rookie,2018,"Drama, Comedy, Action & Adventure, Crime",8.0,,United States,,00:43:00
24,Euphoria,2019,Drama,8.3,A,United States,Jio Cinema,00:58:00
25,Scam 1992,2020,"Crime, Drama, Mystery & Thriller",9.3,,India,Sony Liv,00:52:00
26,Lucifer,2016,"Crime, Science-Fiction, Drama, Fantasy",8.1,U,United States,Netflix,00:47:00
27,Gullak,2019,"Comedy, Drama, Kids & Family",9.1,,India,Sony Liv,00:29:00
28,The Family Man,2019,"Comedy, Drama, Action & Adventure",8.7,,India,Amazon Prime Video,00:45:00
29,Money Heist,2017,"Drama, Mystery & Thriller, Action & Adventure, Crime, Made in Europe",8.2,,Spain,Netflix,00:50:00
30,Aashram,2020,"Crime, Drama, Mystery & Thriller",7.4,,India,MX Player,00:43:00
31,Breaking Bad,2008,"Drama, Mystery & Thriller, Crime",9.5,U,United States,Netflix,00:47:00
32,The Twelve,2019,"Drama, Mystery & Thriller",7.4,,Belgium,"Netflix, Amazon Prime Video",00:54:00
33,Naruto Shippūden,2007,"Action & Adventure, Science-Fiction, Animation, Comedy, Drama, Fantasy",8.7,U,Japan,"Netflix, Crunchyroll",00:24:00
34,Demon Slayer: Kimetsu no Yaiba,2019,"Mystery & Thriller, Animation, Action & Adventure, Fantasy, Science-Fiction",8.7,,Japan,"Netflix, Crunchyroll",00:26:00
35,Mashle: Magic and Muscles,2023,"Comedy, Fantasy, Animation, Action & Adventure, Science-Fiction",7.6,,Japan,Crunchyroll,00:23:00
36,Naruto,2002,"Action & Adventure, Science-Fiction, Animation, Comedy, Fantasy",8.4,,Japan,"Netflix, Amazon Prime Video",00:23:00
37,Masters of the Air,2024,"War & Military, Drama, Mystery & Thriller, Action & Adventure",7.9,A,United States,Apple TV Plus,00:56:00
38,Apharan,2018,"Drama, Action & Adventure, Crime, Mystery & Thriller",8.3,,India,"Jio Cinema, Alt Balaji",00:24:00
39,House of the Dragon,2022,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4,A,United States,Jio Cinema,01:02:00
40,The Bear,2022,"Drama, Comedy",8.6,,United States,Hotstar,00:34:00
41,The Last of Us,2023,"Drama, Mystery & Thriller, Action & Adventure, Horror, Science-Fiction",8.7,A,United States,Jio Cinema,00:58:00
